"Nombre Rutina";"sistema";"Grupo (Arbol Equipos)";"Lugar";"Frecuencia";"Frecuencia Horas ";"Frecuencia Kms ";"No. de frecuencias a cumplir";"Tiempo de Ejecución en minutos";"Tipo de Manto";"Prioridad";"Orden Actividad";"Nombre Actividad";"Descripción";"Tiempo actividad en minutos";"Cargo";"Tiempo"
"Sistema de frenos 6";9;107;"Interno";"Anual";"20.000 ";"200.000 ";;;"Preventivo";"Alta";10;"CAM-VAL-SEG";"Cambio de valvula seguridad";60;12;60
;9;107;"Interno";"Anual";"20.000 ";"200.000 ";;;"Preventivo";"Alta";8;"CAM-BOM-FRE";"Cambio bomba de freno";120;12;120
"Sistema de frenos 7";9;107;"Interno";"Mensual";"400 ";"5.000 ";;;"Preventivo";"Alta";9;"REG-FRE";"Reglaje de frenos";15;14;15
"Sistema de frenos 8";9;107;"Interno";"Mensual";"400 ";"5.000 ";;;"Preventivo";"Alta";12;"ENG-RAC-FRE";"Engrase rache freno";10;14;10
"Sistema de Embrague 1";8;107;"Interno";"Anual";"6.000 ";"70.000 ";;;"Preventivo";"Alta";1;"CAM-EMB";"Cambio de embrague";240;12;240
"Sistema de Embrague 2";8;107;"Interno";"Semestral";"4.000 ";"20.000 ";;;"Preventivo";"Alta";2;"REV-REG-EMB";"Revision y reglaje";20;12;20
"Sistema de Embrague 3";8;107;"Interno";"Mensual";"400 ";"5.000 ";;;"Preventivo";"Alta";3;"ENG-BAL";"Engrase balinera";10;14;10
"Sistema de Embrague 4";8;107;"Interno";"Anual";"25.000 ";"300.000 ";;;"Preventivo";"Alta";4;"CAM-PRO";"Cambio del propulsor";180;12;180
"Sistema de Suspensión 1";5;107;"Interno";"Semestral";"2.700 ";"30.000 ";;640;"Preventivo";"Alta";1;"AJU-SPL";"Ajuste de Splinder";30;12;30
"Sistema de Suspensión 2";5;107;"Interno";"Anual";"10.000 ";"100.000 ";;;"Preventivo";"Alta";2;"CAM-SPL";"Cambio de Splinder";120;12;120
"Sistema de Suspensión 3";5;107;"Interno";"Mensual";"400 ";"5.000 ";;;"Preventivo";"Alta";3;"ENG-TER";"Engrase terminales";10;14;10
"Sistema de Suspensión 4";5;107;"Interno";;"25.000 ";"300.000 ";;;"Preventivo";"Alta";4;"CAM-AMOR";"Cambio de Amortiguadores";90;12;90
"Sistema de Suspensión 5";5;107;"Externo";"Anual";"5.000 ";"50.000 ";;;"Preventivo";"Alta";5;"CAM-EMP-CAJ-DIR";"Cambio empaquetadura caja de direccion";180;;180
;5;107;"Interno";"Anual";"5.000 ";"50.000 ";;;"Preventivo";"Alta";7;"CAM-CAÑ-DIR";"Cambio de caña direccion";45;12;45
"Sistema de Suspensión 6";5;107;"Interno";"Anual";"25.000 ";"300.000 ";;;"Preventivo";"Alta";6;"CAM-CAJ-DIR";"Cambio de caja direccion";120;12;120
"Sistema de Suspensión 7";5;107;"Interno";"Semestral";"2.500 ";"25.000 ";;;"Preventivo";"Alta";8;"CAM-ROD-CAÑ-DIR";"Cambio de rodamiento caña";45;12;45
"Caja Compactadora 1";6;107;"Interno";"diario";"24 ";"190 ";;17310;"Preventivo";"Alta";1;"LAV-GEN";"Lavado general";30;18;30
"Caja Compactadora 2";6;107;"Interno";"diario";"48 ";"380 ";;;"Preventivo";"Alta";2;"ENG-GEN";"Engrase general";15;18;15
"Caja Compactadora 3";6;107;"Interno";"Anual";"10.000 ";"100.000 ";;;"Preventivo";"Alta";3;"CAM-LAM-CAJ";"Cambio lamina caja";11520;19;11520
"Caja Compactadora 4";6;107;"Interno";"Anual";"20.000 ";"200.000 ";;;"Preventivo";"Alta";4;"CAM-LAM-POR";"Cambio laminas portalon";5700;19;5700
